clinic_id,name,address,phone_regular,phone_emergency,whatsapp,opening_hours,emergency_24h,website_url,applemap_url,latitude,longitude,rating,google_place_id,photo_reference
11,Acorn Veterinary Hospital,"G/F, 68-80 Second Street, Sai Ying Pun, Hong Kong",+852 2540 0228,,,Mon-Sat: 09:00-19:00; Sun: 10:00-17:00,FALSE,http://www.acornvets.com/,https://maps.apple/p/LCv8GZspDaQ7-G,22.286033,114.14156,4.2,ChIJeT9S0ID_AzQRfci_UZSGlXk,ATCDNfU58UJ_S4gyzghd8oTx47bKUpIhGReMZiGsQisuDNZ6cqLxhhMWl01vhg9t-558_MCa8edBg4nF2PNzjkmpFXXT-WeImIztW6xQOjyl6khTLSctwk2C1aVyjFGwcUX3D9951z8wdx9r9RbwmhHd_HLnYlpD9eoKQtH0EkJl6YMFFEj4rZZgRT40sQFigfRArwgsyovqLX0P2XPCzhjXJaPoRO0D2PMscZ_w5H3_Ki3J1E6-1tV1ERF447xu38NHytuWLbHY-dQRvJBG6QtNDVOyhLJutJDO-Vx13QzBHCh0Clxwlef4VViVgyWmQqcLNTL6sMnXWoX4dr4izkfHhzksgByMdCBhYz9oYWDl25ZfRklDTlchjzCsZjhDfFMvNzwgSIV4SPtq9KIbS3fVeFMBQ4jq-TM7pzGGfgqL8kw
12,Four Paws Animal Hospital,"Shop B, G/F, Caineway Mansion, No.130 Caine Road, Mid-Levels, Hong Kong",+852 2291 0065,,,Mon-Sat: 10:00-20:00; Sun: 10:00-18:00,FALSE,zh.yelp.com.hk,https://maps.apple/p/tZy9TZEdgCBDzb,22.282688,114.149373,4.5,ChIJAyNcZ3kABDQR7PxOpTSjevY,ATCDNfU6ZhGSwjvJvcyGdIeOShIeZkqFhVtyOiUPcP2jyCVN3DPg0kYNUc96eMOqBjwBAPy045T0J-dHcN-NTfUL9tn6SOKA-qmHsC_4s_VE9gBbOYhVFN8yLLBifMO7Soa3U8HYRcJ3n28fVn7wBUrJqH6WbTV1QOvEGWDleaoGkCLFAjuzZZ1D9Xm8GOzA_puwvdLV6cuPnppIyEbi0lZWyvXXIR4YP6N9OLk3szIAH_9H5cOgy8deSO3ytM6AZY1pjUnczfuh-JkZoxgxZZH5fXuzLSDKtI6QO0uw8iuyGiK5oanY4O8-OL3EkoWCPaYT1NHQyJ9MfaYTtx34g6fY9XZzPDFqEcOK7w0pvl363Y8gqaOGOs_O8-QLsQYiQ0PYP9ERpd4_7xsz1iexj0m2g1GSaD-ZsWVtPjoEM9SrDGtEAJU
13,Happy Life Animal Clinic,"G/F, 63 Catchick Street, Kennedy Town, Hong Kong",+852 2818 2333,,,Mon-Sat: 09:00-21:00; Sun: 09:00-18:00,FALSE,https://www.facebook.com/happylifevethk/,https://maps.apple/p/Ikj5.ryhsU9980,22.283367,114.127654,4.3,ChIJLWmvOg7_AzQRE_9qVjMDDqM,ATCDNfUBtUU3fHayUauXP92ebcQouEFAYVjLBxO_SdglmWkAzew89V2QBkKv2MPz74LvAHxDNCbZfOrykH2xHvwSajkfZtV8RLpPC5z_YJpwuGxdpkyYN7A5MgE1NMJLGQBGptv9ylYFbNsZd8SFxH2OzjTFfatsd2sgMYm2Sne_bAPGO4FUIWRIXW7I3_Jxz97AVEm0N_HRG3J1VPn3Jxm9n2C3__2_4VnAup8FdAs-wD92xKbMl7ns9L52U1EGYuzqTqEJUkl6cfcmQAwdXwmXNy0DRkXpkc9pL43oV8J9HgvQAIc34FjvvJtyKV32GNacXPrIBpsDIOqxLb7L-ln09t8qcuWVoy0a5xOnACrIo-6_AcwSp1W0vxOp3VzIxRvZMKJG_trwobrEMQ9t6HS8EFZdOCc0BRqElRz6CfxOH0zIzs0O
14,Paws and Tails Veterinary Hospital,"4 Po Yan Street, Sheung Wan, Hong Kong",+852 2832 2836,,,Mon-Sat: 09:00-13:00; 14:00-19:00; Sun: 09:00-13:00; 14:00-18:00,FALSE,http://www.pawsandtailshk.com/,https://maps.apple/p/MHw8Co84-zsd7.z,22.285572,114.14733,4.8,ChIJv-GOLUIBBDQRkC_8BQApTzY,ATCDNfXJ59VDO9SM2RWbUP2mY-2FHjMmMv66TSCmmQlGoWjebiMg_Q7A8gvn087A93XxTrBUJBlWVzyIW9jELNVYg-5zbOaz6j4XNuHrYJR-q7lKFYh6_DP3jmU9bHsuPJLx2UjdWe1LXWDHN1PKxOuZqnD7yMja3JKMC7hUYIwCGlz1sSEg0qrgmmdbyne5vJF5qL6s6Jnfg6foGt7IvXHSg0UOsA1CbwmqaL4DyaM8GDYrttTR1RnUJJhpygMmjHJf7pV5I_8o-k0q31Ph9SchMwsXjKV9Dx4PdfED0cmyBW3DRg
15,The Ark Veterinary Hospital,"Shop 1 G/F, 25-35A Water Street, Sai Ying Pun, Hong Kong",+852 2549 2330,,,Mon-Sun: 24-hour,TRUE,https://petspace.group/,https://maps.apple/p/K_u-7aniFf2nv.z,22.285475,114.138988,3.3,ChIJfSSg9U7_AzQREqphIj5j2eE,ATCDNfUPxAKdl0IdNFX5BcI6kmS0aWWkTR0PQdTUST8IAljsSkobxzbKcfF6iSrDvPoxxU5m2SadkFUugFRTc-Ypsz0KdPHlgQIs8YmRy6kXyiy32FG0zDagYWO82AkCfjKL6s9Y2t5vXLLScy9NodztH4VbHRmiiYHS9EnHvrjHTHSlpmg98yffW77c3ipZqmwpshhWWoJsc7xC72Lqr0XMz53D7O-Ljyk20dKcH7PXHf52YaSDcTHKbcDUDEULHahop3Lmnrj5voWjG4O8S-Y_gbOhOBRyanM8zc4v4K9FY4n2hA
16,Stanley Veterinary Centre,"LG/F, 10 - 12 Wong Ma Kok Road, Stanley, Hong Kong",+852 2813 2030,,,Mon-Fri: 09:00-18:00; Sat: 09:00-13:00; 14:00-17:00,FALSE,http://www.stanleyvetcentre.com/,https://maps.apple/p/g--zs96Tq55FUv,22.217926,114.213443,4.1,ChIJq9gOZmuqBjQRADaLlQHIPsE,ATCDNfWnhYF4IZItkmlRRwynry6ifRm4OaskbjTkKQ74W-qLlsi2QB2WWneG5mlH-ga-wI3dkMRUg1nbWObnOjmbXdwroS7RdN6AhalJLw-C6nVrwiN9nGqWzMXqAXJ0r14CNnJZ04YB1j7VaaH_xjLQMp7P3VllGwr5nPi61NwPDF7Lq1r-PLSDXG2a8G-yivjqGqEWTTASiude67ypsd2WeWXGAs69UviKZguBRls0xHg56Im1wO14xKQ7bK-szf4H8ToK3iYpRQzPmNe9eC9YNtfrSt2zkzXfz8zNzaPU8zCVVqTwCJK3462mV5JhK8xxBab-Z_k9oNdRjPu2RuXCHAKg-qrefHUx68_kUQ1FWi8x_vihjbCXmDcd1g6vKOhyyZD2C5Cwio3uwl1TcozFJ1DolFbwuGfhYNxcvCYBs-MM7Sg
17,Cosmo Pet Service Centre & Animal Hospital,"G/F, 38 Fort Street, North Point, Hong Kong",+852 2530 0101,,,Mon-Sun: 10:00-20:00,FALSE,https://www.cosmopethk.com/,https://maps.apple/p/9IGtm8z8MbcCGi,22.289874,114.197679,4.5,ChIJV7mMvQMBBDQRjt185E5AnU8,ATCDNfWV02x4d5g9_oxH_gxr8oDOras47NYxBOdn3NxAZ7HE-73WWlt6Pv79jEbWcq2NmPzFL7-EsHrOJXzrrSpP1ARIBvDf6zgRrZ22y04Cj6lXQMGmNtpsk-Ysq5Mal2TmvLGbmqJQdT3wj6Z1TkVKT5CvfqbbUEzx2lNY8bQqmbjPVSSFX5S3o_KjaZHrUBZ4aHDuSSYNQWAQP2wH185Brc25sjRVYy7RrFScGXNnck-XlN-cBPNXX5e3jet0au6CVzVyI2YKzRWInpnqPFZ7oKDYpshvQfO_Lxy364xGDPGmQ2XkgoB2Inx290lFWl0ACvRA_3x8UTefJcC_grPdK3oScf8K6PfEgdNrAarC3rgy2wmeshCY7pFeD76u5Mv--iTkks2-XVfgO0gzkJXvDZ6u4gob-mAljvpRr106a9ZrWCnMj3g24euc6cuzHA
18,Dr. Hugh's Veterinary Hospital,"G/F, 2A Wing Hing Street, Tin Hau, Hong Kong",+852 2380 0612,,,Mon-Sat: 9:00-19:00; Sun: 10:00-17:00,FALSE,http://www.dhvh.vet/,https://maps.apple/p/U1CWL3ZAw~UJsF,22.285046,114.19113,4.3,ChIJi5SgLv4ABDQR7O_088HscC8,ATCDNfUFqWvLEyGeDO3Xduj-2iJDkwwUZT-tMxIQZ_shdJFgwxNl0SpGv4xDtFrb5-97nimUXgf6wk09T7Q-ILQmXcLTwB8cQSEiu_o7_tTIWKatZm8Z__dhSwAynO1GaNv1d39YdTcR9k6xwG55Zl1hE7IiU2t4HbQ3jAY8DRYD3XgXDfSn5v-7NiMYYp-iOXkVAxh8we8IE6qIHPN2lp_WbwFbf8Xke__pMoBEzg6LkIeTZXE5k3Bh8OUVJnnzebVkHX5jjeQB6Ohldy_X8aTP4nKfa-WIqOsl545DIsMwCKpFGFj11-ucGlHA8v1v32TlLDZV_O2EOjcZ3y9mdw8tP84CKL-sG6Dl319X7v_C9voCfPcu108EJifdgQ_piZoYmszTKZ65ilkRYOsJ41A9DlIk8cSVufUSxc3EEECBKem5B3k
19,East Island Animal Hospital,"256 Shau Kei Wan Road, Shau Kei Wan, Hong Kong",+852 2915 3999,,,Mon-Sun: 24-hour,TRUE,https://www.creaturecomforts.com.hk/,https://maps.apple/p/EcdJLkSMcN6HYM,22.279998,114.22523,4.4,ChIJF3zipHcBBDQRIsyWPNX6CoI,ATCDNfVMRWTb1B0qRrK_LT2eDBEK47cjPAxUFXGoZG-6ZfIbCX0NBM_VG-v_fnMnVjRm55ysm59nAvNUTwt9qr1xvx3OEZtEKtidRz-cxJ32tMlunv7h8Kb_j1jn2ZJZ2-nyyObQ3NCKtJV-nDJXT1hSZ5Z_KIe5ypExQb-gTcEypTsj6kVm5pob-4OQVXy_bA2_MGpg1ZFY5r4fPdXH9pEW1qD_j36_qmrhONLZ4H74DT7qvi1Ew97mEkIY7IrJiDIohsbqREdghMv23XrnND9qV46iRy2JuAvdo3DYGtfM95_Pfg
20,HK Island East Small Animal & Exotic Veterinary Centre,"Unit 02, 3/F, Eastern Centre, 1065 King's Road, Quarry Bay, Hong Kong",+852 2809 2618,,,Mon-Sat: 10:00-13:00; 15:30-20:00; Sun: 10:00-13:00; 15:30-19:00,FALSE,,https://maps.apple/p/RBo0mfZ5f0tNtp,22.285066,114.214161,3.6,ChIJyfPa7SABBDQR6mhYs0FxX70,ATCDNfX_XcVy0gwQI7p9X3CvTRtofD8Owb108eHMAnCscRADl1BtW3x4lSyb_dT6Rgf76PlZzgOBL9BnjOgdGrRROhlkhAv-3wny8XWr7y5Zy_sc2_uCGuZhRZzpYB1Uf4TJuzsj2Sgc2fu-ufPOXus4exHxj3X-ibsM2gkywi4l_alCTYmaAylnJbir4-6c2DMrWRtS4EX12fJtR-YIDF6_jkhqrb8dFHZafi0bAktfF6R520Hd7dt0JXOmIazJCq4SNqQkSlmn1CDP3BmMTA94junQImTJHlbI1mq8AE4JNeEkUbUx-ub4dSqP_aYPr39SsqQjWwpPwYPCYGEmKnAVPZ3P18L5z8lCG8gtV8hObWpi-MEOAfGEHTzPpa507MDJvUWob04oxsCug21qnykti8_17zclGtk2QPj7oh6Y4vzE3g
21,The Sanctuary Animal Hospital,"G/F, 56 Shau Kei Wan Road, Sai Wan Ho, Hong Kong",+852 2560 2721,,,Mon-Fri: 09:00-19:00 Sat-; Sun: 09:00-18:00,FALSE,https://www.sanctuary-animal-hospital.com.hk/,https://maps.apple/p/h6dcBYgfQIgZNV,22.283068,114.220919,3.5,ChIJOz45uXcBBDQRgEU9cJqyT6c,ATCDNfUnArCoprQANKfIk3sZnYObSr2-JPXd2KDMoeDFdCNMuI0_-gkbrom3UHrTsLkFoPoqB6_5f0o5lIAtjksHoi5foXSVqr79SybZnt48ni86-Fzim6CYHjvPHVacaJaAHr6AzfkGBtF7KmH5F0LKhRPAL5TBFzKfwnmfgBk5ROP-r-oH52c8Fr0jkk4QkD0h-WNkk02wGnDGRwHhSGqLgo0CzNxb-Br8ozHd9xMEF_yBatCrYw7daCtOHtuACEMIeyoS86pigLhvpqccfG15IlUdTIHcTjgOahwAmRqeNIEcvg
22,Causeway Bay Animal Hospital,"G/F, 29 Whitfield Road, Causeway Bay, Hong Kong",+852 2510 0836,,,Mon-Sun: 09:00-19:00,FALSE,https://petspace.group/,https://maps.apple/p/YLr2aqY~EGYr6N,22.286036,114.190656,3.6,ChIJlxM-zf8ABDQRq7Y9w15-MlU,ATCDNfXyHSazz_i5GexjtwO6SB9pQHahlCXtiJfG_U7FSHbaTxisc-aGhGz7PWmJDwmv-65Ly8KGfHwY4PgMrJgpEORgQe6YPsJ6aJMPuWK-ibp8lX1BtOT39ksNGHZPeJdeOVqyEM-XEhJCib7dLatSE9niN74QrQpIoUsEFoamyvfFqWwBMG1_EC0b-VfwEFnWxXz8mrucnKnk6S9AHqOy1CepVqRgGptk_1gY5qVJh52DOqeGe0Eyq_Mztc1xqbGlCMM1XiWHgkxxFQiqfQ01tznjttAgeFTNTkD35ZlwLZ3Cmg
23,Dr Eric's Animal Clinic (Happy Valley),"Shop B, G/F, Igloo Residence, 1A Shan Kwong Road, Happy Valley, Hong Kong",+852 2893 2988,,,Mon-Sun: 10:30-13:30; 16:00-19:00,FALSE,http://www.dreric.com.hk/,https://maps.apple/p/7U-4psawLZwQgq,22.269016,114.184134,4.8,ChIJUULYv04ABDQRYvPtNIREyD8,ATCDNfVyvCCf7Ui5RPQd-TrE6an0cFnlbzy4-dcJsrLEOn5L3wj66q3tkBfYKBV6B3mQdoVcAh8HmtlfcxEkC1OaZ8IzP_Tx4scp0QxrRSCPfdbtsGJUVf0GeKeMvWp0enPn3WQE_aKyAQDOc0ykKusgL7M8tJ3h4ysCdhR4-aWSUF_adXmk_BMUESBkT7egowkx_J_uJb99gHT_1Mqc0KOahmurT4_x6cxcwAmnaa3Kq7rfdW9xQjgK1kxDEv_V3HtxuXcSb1vGUsVV3qVh3zYi8N6wMV2GW9CngkHXCaU-IQuLu7CKSJi9Pi12iDVfjRVmaKiCba9JBCBcQ09DHftF2xT44QJtxrteu-J2QaS-nYVY7EyOVyl6R3s-yAayuZXVN9akgDHhhBAXClG4BCc-H5_imKLcO0oVg917mXO4yNNT95a9h5oxGqFaOrIkRKPp
24,Hong Kong Island Veterinary Clinic,"Shop 1 & 2, G/F, Regent Hill, 67 D-E Sing Woo Road, Happy Valley, Hong Kong",+852 2982 0222,,,Mon-Sun: 09:00-19:00,FALSE,http://www.hkivc.com.hk/,https://maps.apple/p/fCjUATWnrRfjLi,22.267689,114.186959,4.3,ChIJcRUkcrsBBDQRgrnSRx9ovEo,ATCDNfWe0-5avt2TBcF5LNdEBYz1tneHG_ZfY0fUqm8hXsh0AMxdsynnvbzYuru9OSfRSCuR7-FxuPbBO274n4Lfmwp01q1SJ81FHsB-GOpiDiVI50c7T0fi_vyTMI44yh3yKZfoRqhPHgiYL1N5F_XM2OYuQ-935l9zb5TRdmJRdCLKTTAlimea6xEhm1m03EW6bFfifb6wa0RaXZ5y_JtX8MSOUG5t0X2ipgWLTFaxzcuep1zgtGL6nOcBhNbOe_JP1r7ja7voW9KRhnhP7yg7NYi-uhb1T8AsNznfIQSEhkE
25,Phoenix Animal Clinic,"G/F, 2 Sun Street, Wan Chai, Hong Kong",+852 2865 4320,,,Mon-Fri: 09:00-13:00; 14:30-18:00; Sat: 09:00-13:00; 14:00-17:00,FALSE,http://home.netfront.net/~easie/index.htm,https://maps.apple/p/cDBIXPszsu-.Ta,22.276536,114.168548,4.3,ChIJn-us_lwABDQRaSQ0Ta_k4do,ATCDNfWpepUlCckkQ55o7lyBpDkEvSV6hdi9Tf3v4Mx0oGCoLYrJ2xrblVQfJ7MIkNP6QPGYgSfRS4VsAsBrL-VSmXcYhdrCHwfqp6DOx1KkZTneXa1yA3cJnbuevGCRfNLqVNhLlUY7D2X8HMgUbZTwOUC9HpJnGAWjzrlR6eb9684KANoxDYi07Nzn3_YN6lSS9JWofbGstpOb-ZC0AS8oY1-1-9zhAx40ln4v6xQSmHHG2iMDaIy4z6ufhMEGAMxU49dD9RwAho2__N_FJPTSghCHTdCoDipL-eRahjPVRxN4wRDsm6VXlNO5e2jEt3PMCBTnQygSsc1k9T7eTFBkcZUvISGHfD3wmKCoQNpd31Fi_7xYmD8Rzr1MObxQH6vRIzCjohr5nMXJGTqU3-B2LsIhVaYe-6sz8bz1dGQ1yV6lGb8
26,SPCA (Hong Kong Centre),"5 Wan Shing Street, Wan Chai, Hong Kong",+852 2802 0501,,,Mon-Sat: 08:50-17:30,FALSE,http://www.spca.org.hk,https://maps.apple/p/FHQtIfAwe4A6Px,22.282044,114.178707,4.3,ChIJf5EDzlkABDQRdOv7KvIKw0U,ATCDNfU4IWPFw-FkY2tSb8bz_NQiOb5Kbixpy4Wi6pjywcMBPjaWlpQ4jgrJyh5WdeXLHORV2kMidlf5DsAE4QyOLBs85iKUVwF0T70xYSh0fn_TEpf5B33vfYrcdAZNJ-cEz1UK-iT5l2UzxJ8e16902-H-BZo-WelVBG4I9UTFM8CTI4wKjxNy5Nu93xBuAhMOH7bGDCI5WrvvyaO8vbhxwcDYBvbq3zFo0TO7JYqkSCegzH74wS7EoR8gMjK6e7CPFseAP8o_rToR0qTaw41P07z7PGBNbsWF5QdAHYZtNKZOooQVNeaLrXRZnZwzJb3B_VAW8ojYYfUKUcdVJ-ezo5Sgz_6I370vD1YbfY6h-Vr5NKsjNvgnrL6gHftFwoe_wxRBY9zn-pBbmS7HpmXalp3A0GOFgXY7UVf9wAU80LS_Wx_v
